parametro,posterior.mean,posterior.sd,MSEn,ISn
beta0,-9.984486577428622e-4,0.0010012839475702722,7.829722626387077e-7,3.9273449252203156
phi,4.35486935522357,4.6075925334919745,0.8282296151922381,16.782250983013032
sigma,5.752245737780695e-8,2.617260493480243e-7,2.9885133460048537e-5,40.00061093966579
tau,3.0906047097878256e-5,3.146651280701004e-7,6.084050669911103e-4,808.8249118638928
