parametro,posterior.mean,posterior.sd,MSEn,ISn
beta0,-9.55580066986992e-4,0.0010411288229455957,5.241060146215289e-4,4.081149992482153
phi,3.863688338302155,4.691151738711937,0.28019986191380636,21.406733526088583
rho,0.7839827643311823,0.30036552367984837,0.0013263511017596195,1.289588542890087
sigma,5.229164434126879e-14,1.3398799407557983e-13,0.0029999999998954166,39.99999999983358
tau,0.003003785150529653,2.0998486062569586e-5,6.310658944915203,82922.79125534972
