parametro,posterior.mean,posterior.sd,MSEn,ISn
beta0,-0.0012847904566508318,0.0010372867066816619,5.406905424714572e-4,4.0660891734786935
phi,6.2987226735791095,9.332560436782497,0.5415335895386995,13.99871453474345
rho,0.7599917854617431,0.301974859958938,0.004526094344712859,1.2793938657601056
sigma,5.217597390679237e-14,1.9165887478733037e-13,2.99999999895648e-4,39.99999999972361
tau,3.0172840814550234e-4,6.718899452436176e-6,0.06315792117994821,8052.659999268557
