parametro,posterior.mean,posterior.sd,MSEn,ISn
beta0,-9.783268838396099e-4,0.0010426823524540365,1.0258317804809465e-4,4.089748179001853
phi,3.8185346886613187,4.76803286745995,0.5972196911625036,21.6782076279035
sigma,6.287045501396622e-7,1.8173057517935635e-6,0.002998742766069876,39.99813844658779
tau,0.003002363797048768,2.424981839162641e-5,6.3041737027205365,82744.16641371744
