parametro,posterior.mean,posterior.sd,MSEn,ISn
beta0,-9.857987967030557e-4,0.0010044158356171814,5.2274317830899214e-5,3.937237726624939
phi,5.848734558542296,8.863315931947868,0.3276573453642835,16.386783156538776
rho,0.7905739249415347,0.27352366450754545,0.0011481238665979538,1.1684694792110981
sigma,8.428401220042229e-14,4.0256515028567417e-13,2.9999999983143196e-4,40.00000004950816
tau,3.0108425885642134e-4,2.2595500751044372e-6,0.06286277930351868,8265.657412686505
